diet_sex,diet_category_group,diet_category,diet_age_group,diet_estimate_000
Males,Usual daily consumption of vegetables,6 or more serves,45–54,35.7
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,45–54,1585.9
Males,Usual daily consumption of vegetables,Average number of serves of fruit,45–54,1.5
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,45–54,2.1
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",45–54,1585.9
Females,Daily consumption of fruit,Met recommendation,45–54,723.0
Females,Daily consumption of fruit,Did not meet recommendation,45–54,910.6
Females,Daily consumption of fruit,Total females aged 18 years and over,45–54,1641.5
Females,Daily consumption of vegetables,Met recommendation,45–54,168.5
Females,Daily consumption of vegetables,Did not meet recommendation,45–54,1475.5
Females,Daily consumption of vegetables,Total females aged 18 years and over,45–54,1641.5
Females,Daily consumption of fruit and vegetables,Met recommendation,45–54,102.4
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,45–54,1528.2
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,45–54,1641.5
Females,Usual daily consumption of fruit,Does not eat fruit,45–54,177.3
Females,Usual daily consumption of fruit,Less than 1 serve,45–54,61.6
Females,Usual daily consumption of fruit,1 serve,45–54,669.8
Females,Usual daily consumption of fruit,2 serves,45–54,535.3
Females,Usual daily consumption of fruit,3 serves,45–54,159.0
Females,Usual daily consumption of fruit,4 serves,45–54,15.0
Females,Usual daily consumption of fruit,5 or more serves,45–54,16.4
Females,Usual daily consumption of fruit,Total females aged 18 years and over,45–54,1641.5
Females,Usual daily consumption of vegetables,Does not eat vegetables,45–54,13.4
Females,Usual daily consumption of vegetables,Less than 1 serve,45–54,8.9
Females,Usual daily consumption of vegetables,1 serve,45–54,421.0
Females,Usual daily consumption of vegetables,2 serves,45–54,507.4
Females,Usual daily consumption of vegetables,3 serves,45–54,356.5
Females,Usual daily consumption of vegetables,4 serves,45–54,153.8
Females,Usual daily consumption of vegetables,5 serves,45–54,120.5
Females,Usual daily consumption of vegetables,6 or more serves,45–54,45.1
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,45–54,1641.5
Females,Usual daily consumption of vegetables,Average number of serves of fruit,45–54,1.5
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,45–54,2.5
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",45–54,1641.5
Persons,Daily consumption of fruit,Met recommendation,55–64,1327.1
Persons,Daily consumption of fruit,Did not meet recommendation,55–64,1642.0
Persons,Daily consumption of fruit,Total persons aged 18 years and over,55–64,2973.3
Persons,Daily consumption of vegetables,Met recommendation,55–64,205.6
Persons,Daily consumption of vegetables,Did not meet recommendation,55–64,2777.0
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,55–64,2973.3
Persons,Daily consumption of fruit and vegetables,Met recommendation,55–64,117.5
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,55–64,2859.4
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,55–64,2973.3
Persons,Usual daily consumption of fruit,Does not eat fruit,55–64,407.3
Persons,Usual daily consumption of fruit,Less than 1 serve,55–64,66.2
Persons,Usual daily consumption of fruit,1 serve,55–64,1177.7
Persons,Usual daily consumption of fruit,2 serves,55–64,809.7
Persons,Usual daily consumption of fruit,3 serves,55–64,398.0
Persons,Usual daily consumption of fruit,4 serves,55–64,73.3
Persons,Usual daily consumption of fruit,5 or more serves,55–64,49.8
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,55–64,2973.3
Persons,Usual daily consumption of vegetables,Does not eat vegetables,55–64,67.8
Persons,Usual daily consumption of vegetables,Less than 1 serve,55–64,59.5
Persons,Usual daily consumption of vegetables,1 serve,55–64,813.6
Persons,Usual daily consumption of vegetables,2 serves,55–64,951.3
Persons,Usual daily consumption of vegetables,3 serves,55–64,562.3
